,cata_x,cata_y,cata_z,cata_data_source,cata_xx,cata_yy,loupe_x,loupe_y,loupe_z,loupe_C,offset_xy
2024-11-26 23:34:59+00:00,,,,,,,489722.1,6277248.6,2.7,X,
2024-11-26 23:35:00+00:00,,,,,,,489722.0,6277250.0,2.7,X,
2024-11-26 23:35:01+00:00,,,,,,,489721.9,6277251.3,2.7,X,
2024-11-26 23:35:02+00:00,,,,,,,489721.8,6277252.7,2.6,X,
2024-11-26 23:35:03+00:00,,,,,,,489721.6,6277254.0,2.6,X,
2024-11-26 23:35:04+00:00,,,,,,,489721.6,6277255.3,2.6,X,
2024-11-26 23:35:05+00:00,,,,,,,489721.6,6277256.6,2.6,X,
2024-11-26 23:35:06+00:00,,,,,,,489721.6,6277257.9,2.6,X,
2024-11-26 23:35:07+00:00,,,,,,,489721.5,6277259.2,2.6,X,
2024-11-26 23:35:08+00:00,,,,,,,489721.4,6277260.5,2.6,X,
2024-11-26 23:35:09+00:00,,,,,,,489721.3,6277261.8,2.6,X,
2024-11-26 23:35:10+00:00,,,,,,,489721.1,6277263.2,2.6,X,
2024-11-26 23:35:11+00:00,,,,,,,489721.1,6277264.4,2.6,X,
2024-11-26 23:35:12+00:00,,,,,,,489721.1,6277265.7,2.6,X,
2024-11-26 23:35:13+00:00,,,,,,,489721.0,6277267.0,2.6,X,
2024-11-26 23:35:14+00:00,,,,,,,489720.9,6277268.3,2.6,X,
2024-11-26 23:35:15+00:00,,,,,,,489720.8,6277269.7,2.6,X,
2024-11-26 23:35:16+00:00,,,,,,,489720.7,6277271.0,2.6,X,
2024-11-26 23:35:17+00:00,,,,,,,489720.6,6277272.3,2.6,X,
2024-11-26 23:35:18+00:00,,,,,,,489720.6,6277273.7,2.6,X,
2024-11-26 23:35:19+00:00,,,,,,,489720.5,6277275.0,2.6,X,
2024-11-26 23:35:20+00:00,,,,,,,489720.4,6277276.3,2.6,X,
2024-11-26 23:35:21+00:00,,,,,,,489720.3,6277277.7,2.5,X,
2024-11-26 23:35:22+00:00,,,,,,,489720.3,6277279.0,2.5,X,
2024-11-26 23:35:23+00:00,,,,,,,489720.4,6277280.3,2.6,X,
2024-11-26 23:35:24+00:00,,,,,,,489720.5,6277281.7,2.6,X,
2024-11-26 23:35:25+00:00,,,,,,,489720.6,6277283.1,2.5,X,
2024-11-26 23:35:26+00:00,,,,,,,489720.6,6277284.4,2.5,X,
2024-11-26 23:35:27+00:00,,,,,,,489720.6,6277285.8,2.5,X,
2024-11-26 23:35:28+00:00,,,,,,,489720.6,6277287.2,2.5,X,
2024-11-26 23:35:29+00:00,,,,,,,489720.8,6277288.7,2.5,X,
2024-11-26 23:35:30+00:00,,,,,,,489721.0,6277290.1,2.5,X,
2024-11-26 23:35:31+00:00,,,,,,,489721.2,6277291.4,2.5,X,
2024-11-26 23:35:32+00:00,,,,,,,489721.3,6277292.9,2.5,X,
2024-11-26 23:35:33+00:00,,,,,,,489721.3,6277294.2,2.5,X,
2024-11-26 23:35:34+00:00,,,,,,,489721.4,6277295.5,2.5,X,
2024-11-26 23:35:35+00:00,,,,,,,489721.5,6277296.9,2.5,X,
2024-11-26 23:35:36+00:00,,,,,,,489721.6,6277298.2,2.5,X,
2024-11-26 23:35:37+00:00,,,,,,,489721.7,6277299.6,2.5,X,
2024-11-26 23:35:38+00:00,,,,,,,489721.7,6277301.0,2.5,X,
2024-11-26 23:35:39+00:00,,,,,,,489721.6,6277302.3,2.5,X,
2024-11-26 23:35:40+00:00,,,,,,,489721.5,6277303.7,2.5,X,
2024-11-26 23:35:41+00:00,,,,,,,489721.5,6277305.0,2.5,X,
2024-11-26 23:35:42+00:00,,,,,,,489721.5,6277306.3,2.5,X,
2024-11-26 23:35:43+00:00,,,,,,,489721.5,6277307.7,2.5,X,
2024-11-26 23:35:44+00:00,,,,,,,489721.5,6277309.1,2.5,X,
2024-11-26 23:35:45+00:00,,,,,,,489721.4,6277310.4,2.5,X,
2024-11-26 23:35:46+00:00,,,,,,,489721.2,6277311.8,2.5,X,
2024-11-26 23:35:47+00:00,,,,,,,489721.1,6277313.2,2.5,X,
2024-11-26 23:35:48+00:00,,,,,,,489721.0,6277314.6,2.5,X,
2024-11-26 23:35:49+00:00,,,,,,,489721.1,6277316.0,2.5,X,
2024-11-26 23:35:50+00:00,,,,,,,489721.1,6277317.4,2.5,X,
2024-11-26 23:35:51+00:00,,,,,,,489721.0,6277318.8,2.5,X,
2024-11-26 23:35:52+00:00,,,,,,,489720.8,6277320.1,2.5,X,
2024-11-26 23:35:53+00:00,,,,,,,489720.7,6277321.6,2.5,X,
2024-11-26 23:35:54+00:00,,,,,,,489720.5,6277323.0,2.4,X,
2024-11-26 23:35:55+00:00,,,,,,,489720.5,6277324.5,2.5,X,
2024-11-26 23:35:56+00:00,,,,,,,489720.5,6277325.8,2.5,X,
2024-11-26 23:35:57+00:00,,,,,,,489720.5,6277327.2,2.4,X,
2024-11-26 23:35:58+00:00,,,,,,,489720.4,6277328.7,2.5,X,
2024-11-26 23:35:59+00:00,,,,,,,489720.2,6277330.1,2.5,X,
2024-11-26 23:36:00+00:00,,,,,,,489720.0,6277331.5,2.5,X,
2024-11-26 23:36:01+00:00,,,,,,,489719.9,6277333.0,2.4,X,
2024-11-26 23:36:02+00:00,,,,,,,489719.9,6277334.4,2.5,X,
2024-11-26 23:36:03+00:00,,,,,,,489719.9,6277335.8,2.5,X,
2024-11-26 23:36:04+00:00,,,,,,,489720.0,6277337.2,2.5,X,
2024-11-26 23:36:05+00:00,,,,,,,489719.9,6277338.6,2.5,X,
2024-11-26 23:36:06+00:00,,,,,,,489719.7,6277340.0,2.6,X,
2024-11-26 23:36:07+00:00,,,,,,,489719.6,6277341.4,2.5,X,
2024-11-26 23:36:08+00:00,,,,,,,489719.4,6277342.9,2.5,X,
2024-11-26 23:36:09+00:00,,,,,,,489719.4,6277344.3,2.6,X,
2024-11-26 23:36:10+00:00,,,,,,,489719.5,6277345.7,2.6,X,
2024-11-26 23:36:11+00:00,,,,,,,489719.5,6277347.0,2.6,X,
2024-11-26 23:36:12+00:00,,,,,,,489719.4,6277348.4,2.6,X,
2024-11-26 23:36:13+00:00,,,,,,,489719.2,6277349.8,2.6,X,
2024-11-26 23:36:14+00:00,,,,,,,489719.0,6277351.2,2.6,X,
2024-11-26 23:36:15+00:00,,,,,,,489718.8,6277352.6,2.6,X,
2024-11-26 23:36:16+00:00,,,,,,,489718.7,6277354.0,2.6,X,
2024-11-26 23:36:17+00:00,,,,,,,489718.8,6277355.4,2.7,X,
2024-11-26 23:36:18+00:00,,,,,,,489718.8,6277356.8,2.6,X,
2024-11-26 23:36:19+00:00,,,,,,,489718.6,6277358.2,2.6,X,
2024-11-26 23:36:20+00:00,,,,,,,489718.5,6277359.5,2.7,X,
2024-11-26 23:36:21+00:00,,,,,,,489718.3,6277360.9,2.7,X,
2024-11-26 23:36:22+00:00,,,,,,,489718.1,6277362.1,2.7,X,
2024-11-26 23:36:23+00:00,,,,,,,489718.0,6277363.4,2.7,X,
2024-11-26 23:36:24+00:00,,,,,,,489718.1,6277364.7,2.7,X,
2024-11-26 23:36:25+00:00,,,,,,,489718.1,6277366.1,2.7,X,
2024-11-26 23:36:26+00:00,,,,,,,489718.1,6277367.5,2.7,X,
2024-11-26 23:36:27+00:00,,,,,,,489717.9,6277368.8,2.7,X,
2024-11-26 23:36:28+00:00,,,,,,,489717.8,6277370.2,2.7,X,
2024-11-26 23:36:29+00:00,,,,,,,489717.7,6277371.5,2.7,X,
2024-11-26 23:36:30+00:00,,,,,,,489717.6,6277372.8,2.7,X,
2024-11-26 23:36:31+00:00,,,,,,,489717.6,6277374.2,2.7,X,
2024-11-26 23:36:32+00:00,,,,,,,489717.4,6277375.6,2.7,X,
2024-11-26 23:36:33+00:00,,,,,,,489717.1,6277376.9,2.8,X,
2024-11-26 23:36:34+00:00,,,,,,,489716.6,6277378.2,2.8,X,
2024-11-26 23:36:35+00:00,,,,,,,489716.3,6277379.5,2.7,X,
2024-11-26 23:36:36+00:00,,,,,,,489716.1,6277380.9,2.8,X,
2024-11-26 23:36:37+00:00,,,,,,,489715.9,6277382.3,2.8,X,
2024-11-26 23:36:38+00:00,,,,,,,489715.7,6277383.7,2.7,X,
2024-11-26 23:36:39+00:00,,,,,,,489715.4,6277385.0,2.8,X,
2024-11-26 23:36:40+00:00,,,,,,,489715.0,6277386.3,2.8,X,
2024-11-26 23:36:41+00:00,,,,,,,489714.5,6277387.5,2.7,X,
2024-11-26 23:36:42+00:00,,,,,,,489714.1,6277388.8,2.7,X,
2024-11-26 23:36:43+00:00,,,,,,,489713.8,6277390.1,2.7,X,
2024-11-26 23:36:44+00:00,,,,,,,489713.5,6277391.5,2.7,X,
2024-11-26 23:36:45+00:00,,,,,,,489713.3,6277392.9,2.7,X,
