Gnss DateTime (Local Time), Northing(m), Easting(m), Height MSL(m), Horizontal Accuracy(m)
16/9/2024 5:08:47 pm (UTC+1000), 6200504.11, 627109.72, 39.59, 0.02
16/9/2024 5:08:48 pm (UTC+1000), 6200503.56, 627110.86, 39.5, 0.02
16/9/2024 5:08:49 pm (UTC+1000), 6200503.12, 627112.11, 39.54, 0.02
16/9/2024 5:08:50 pm (UTC+1000), 6200502.61, 627113.38, 39.55, 0.02
16/9/2024 5:08:51 pm (UTC+1000), 6200502.01, 627114.62, 39.49, 0.02
16/9/2024 5:08:52 pm (UTC+1000), 6200501.35, 627115.8, 39.54, 0.02
16/9/2024 5:08:53 pm (UTC+1000), 6200500.67, 627116.98, 39.54, 0.02
16/9/2024 5:08:54 pm (UTC+1000), 6200500.1, 627118.25, 39.51, 0.02
16/9/2024 5:08:55 pm (UTC+1000), 6200499.61, 627119.52, 39.58, 0.02
16/9/2024 5:08:56 pm (UTC+1000), 6200499.11, 627120.82, 39.59, 0.02
16/9/2024 5:08:57 pm (UTC+1000), 6200498.64, 627122.15, 39.54, 0.02
16/9/2024 5:08:58 pm (UTC+1000), 6200498.15, 627123.49, 39.61, 0.02
16/9/2024 5:08:59 pm (UTC+1000), 6200497.65, 627124.82, 39.61, 0.02
16/9/2024 5:09:00 pm (UTC+1000), 6200497.16, 627126.17, 39.58, 0.02
16/9/2024 5:09:01 pm (UTC+1000), 6200496.68, 627127.47, 39.62, 0.02
16/9/2024 5:09:02 pm (UTC+1000), 6200496.12, 627128.75, 39.63, 0.02
16/9/2024 5:09:03 pm (UTC+1000), 6200495.56, 627130.02, 39.62, 0.02
16/9/2024 5:09:04 pm (UTC+1000), 6200494.99, 627131.27, 39.62, 0.02
16/9/2024 5:09:05 pm (UTC+1000), 6200494.47, 627132.59, 39.61, 0.02
16/9/2024 5:09:06 pm (UTC+1000), 6200494, 627133.97, 39.55, 0.02
16/9/2024 5:09:07 pm (UTC+1000), 6200493.49, 627135.32, 39.49, 0.02
16/9/2024 5:09:08 pm (UTC+1000), 6200493.03, 627136.61, 39.52, 0.02
16/9/2024 5:09:09 pm (UTC+1000), 6200492.47, 627137.9, 39.52, 0.02
16/9/2024 5:09:10 pm (UTC+1000), 6200491.95, 627139.23, 39.46, 0.02
16/9/2024 5:09:11 pm (UTC+1000), 6200491.48, 627140.61, 39.45, 0.02
16/9/2024 5:09:12 pm (UTC+1000), 6200491.03, 627141.96, 39.5, 0.02
16/9/2024 5:09:13 pm (UTC+1000), 6200490.57, 627143.27, 39.46, 0.02
16/9/2024 5:09:14 pm (UTC+1000), 6200490.06, 627144.64, 39.4, 0.02
16/9/2024 5:09:15 pm (UTC+1000), 6200489.55, 627145.99, 39.47, 0.02
16/9/2024 5:09:16 pm (UTC+1000), 6200489.08, 627147.36, 39.51, 0.03
16/9/2024 5:09:17 pm (UTC+1000), 6200488.64, 627148.74, 39.39, 0.03
16/9/2024 5:09:18 pm (UTC+1000), 6200488.15, 627150.02, 39.55, 0.03
16/9/2024 5:09:19 pm (UTC+1000), 6200487.61, 627151.26, 39.35, 0.05
16/9/2024 5:09:20 pm (UTC+1000), 6200486.98, 627152.48, 39.44, 0.04
16/9/2024 5:09:21 pm (UTC+1000), 6200486.46, 627153.8, 39.43, 0.05
16/9/2024 5:09:22 pm (UTC+1000), 6200485.96, 627155.06, 39.45, 0.06
16/9/2024 5:09:23 pm (UTC+1000), 6200485.41, 627156.32, 39.49, 0.07
16/9/2024 5:09:24 pm (UTC+1000), 6200484.99, 627157.64, 39.48, 0.06
16/9/2024 5:09:25 pm (UTC+1000), 6200484.59, 627159.03, 39.49, 0.07
16/9/2024 5:09:26 pm (UTC+1000), 6200484.19, 627160.43, 39.45, 0.06
16/9/2024 5:09:27 pm (UTC+1000), 6200483.82, 627161.8, 39.5, 0.06
16/9/2024 5:09:28 pm (UTC+1000), 6200483.39, 627163.09, 39.56, 0.03
16/9/2024 5:09:29 pm (UTC+1000), 6200483.02, 627164.39, 39.54, 0.03
16/9/2024 5:09:30 pm (UTC+1000), 6200482.62, 627165.68, 39.59, 0.03
16/9/2024 5:09:31 pm (UTC+1000), 6200482.33, 627167, 39.68, 0.03
16/9/2024 5:09:32 pm (UTC+1000), 6200481.94, 627168.29, 39.58, 0.02
16/9/2024 5:09:33 pm (UTC+1000), 6200481.46, 627169.54, 39.65, 0.03
16/9/2024 5:09:34 pm (UTC+1000), 6200480.87, 627170.8, 39.73, 0.03
16/9/2024 5:09:35 pm (UTC+1000), 6200480.26, 627171.99, 39.6, 0.04
16/9/2024 5:09:36 pm (UTC+1000), 6200479.64, 627173.11, 39.67, 0.04
16/9/2024 5:09:37 pm (UTC+1000), 6200479.14, 627174.38, 39.72, 0.05
16/9/2024 5:09:38 pm (UTC+1000), 6200478.77, 627175.52, 39.7, 0.05
16/9/2024 5:09:39 pm (UTC+1000), 6200478.3, 627176.76, 39.78, 0.05
16/9/2024 5:09:40 pm (UTC+1000), 6200477.82, 627177.93, 39.76, 0.04
16/9/2024 5:09:41 pm (UTC+1000), 6200477.37, 627179.17, 39.84, 0.04
16/9/2024 5:09:42 pm (UTC+1000), 6200477.02, 627180.5, 39.85, 0.06
16/9/2024 5:09:43 pm (UTC+1000), 6200476.76, 627181.79, 39.83, 0.05
16/9/2024 5:09:44 pm (UTC+1000), 6200476.45, 627183.05, 39.88, 0.05
16/9/2024 5:09:45 pm (UTC+1000), 6200476.25, 627184.36, 39.83, 0.05
16/9/2024 5:09:46 pm (UTC+1000), 6200476.17, 627185.66, 39.85, 0.03
16/9/2024 5:09:47 pm (UTC+1000), 6200475.95, 627186.91, 39.86, 0.03
16/9/2024 5:09:48 pm (UTC+1000), 6200475.67, 627188.24, 39.74, 0.03
16/9/2024 5:09:49 pm (UTC+1000), 6200475.38, 627189.55, 39.8, 0.03
16/9/2024 5:09:50 pm (UTC+1000), 6200475.07, 627190.8, 39.8, 0.02
16/9/2024 5:09:51 pm (UTC+1000), 6200474.79, 627192.11, 39.76, 0.02
16/9/2024 5:09:52 pm (UTC+1000), 6200474.43, 627193.49, 39.78, 0.02
16/9/2024 5:09:53 pm (UTC+1000), 6200474.07, 627194.83, 39.76, 0.02
16/9/2024 5:09:54 pm (UTC+1000), 6200473.59, 627196.1, 39.68, 0.02
16/9/2024 5:09:55 pm (UTC+1000), 6200473.16, 627197.36, 39.65, 0.02
16/9/2024 5:09:56 pm (UTC+1000), 6200472.74, 627198.68, 39.64, 0.02
16/9/2024 5:09:57 pm (UTC+1000), 6200472.34, 627199.98, 39.57, 0.02
16/9/2024 5:09:58 pm (UTC+1000), 6200471.95, 627201.26, 39.6, 0.02
16/9/2024 5:09:59 pm (UTC+1000), 6200471.6, 627202.56, 39.61, 0.02
16/9/2024 5:10:00 pm (UTC+1000), 6200471.21, 627203.84, 39.52, 0.02
16/9/2024 5:10:01 pm (UTC+1000), 6200470.74, 627205.11, 39.54, 0.02
16/9/2024 5:10:02 pm (UTC+1000), 6200470.05, 627206.32, 39.53, 0.02
16/9/2024 5:10:03 pm (UTC+1000), 6200469.45, 627207.46, 39.48, 0.02
16/9/2024 5:10:04 pm (UTC+1000), 6200468.96, 627208.68, 39.48, 0.02
16/9/2024 5:10:05 pm (UTC+1000), 6200468.59, 627209.96, 39.48, 0.02
16/9/2024 5:10:06 pm (UTC+1000), 6200468.39, 627211.31, 39.45, 0.02
16/9/2024 5:10:07 pm (UTC+1000), 6200468.31, 627212.63, 39.51, 0.02
16/9/2024 5:10:08 pm (UTC+1000), 6200468.24, 627213.95, 39.52, 0.02
16/9/2024 5:10:09 pm (UTC+1000), 6200468.18, 627215.28, 39.45, 0.02
16/9/2024 5:10:10 pm (UTC+1000), 6200468.1, 627216.59, 39.53, 0.02
16/9/2024 5:10:11 pm (UTC+1000), 6200468.08, 627217.91, 39.55, 0.02
16/9/2024 5:10:12 pm (UTC+1000), 6200468.08, 627219.25, 39.47, 0.02
16/9/2024 5:10:13 pm (UTC+1000), 6200468.13, 627220.61, 39.52, 0.02
16/9/2024 5:10:14 pm (UTC+1000), 6200468.15, 627221.99, 39.5, 0.02
16/9/2024 5:10:15 pm (UTC+1000), 6200468.13, 627223.33, 39.45, 0.02
16/9/2024 5:10:16 pm (UTC+1000), 6200468.13, 627224.71, 39.5, 0.02
16/9/2024 5:10:17 pm (UTC+1000), 6200468.11, 627226.08, 39.5, 0.02
16/9/2024 5:10:18 pm (UTC+1000), 6200468.07, 627227.4, 39.43, 0.02
16/9/2024 5:10:19 pm (UTC+1000), 6200468.09, 627228.72, 39.51, 0.02
16/9/2024 5:10:20 pm (UTC+1000), 6200468.05, 627230.08, 39.51, 0.02
16/9/2024 5:10:21 pm (UTC+1000), 6200468, 627231.42, 39.45, 0.02
16/9/2024 5:10:22 pm (UTC+1000), 6200467.87, 627232.72, 39.55, 0.02
16/9/2024 5:10:23 pm (UTC+1000), 6200467.63, 627234.05, 39.51, 0.02
16/9/2024 5:10:24 pm (UTC+1000), 6200467.37, 627235.23, 39.52, 0.02
16/9/2024 5:10:25 pm (UTC+1000), 6200466.94, 627236.27, 39.59, 0.04
16/9/2024 5:10:26 pm (UTC+1000), 6200466.5, 627237.42, 39.55, 0.04
16/9/2024 5:10:27 pm (UTC+1000), 6200466.21, 627238.53, 39.46, 0.05
16/9/2024 5:10:28 pm (UTC+1000), 6200466.14, 627239.73, 39.56, 0.05
16/9/2024 5:10:29 pm (UTC+1000), 6200465.83, 627240.75, 39.66, 0.05
16/9/2024 5:10:30 pm (UTC+1000), 6200465.29, 627241.96, 39.53, 0.05
16/9/2024 5:10:31 pm (UTC+1000), 6200464.98, 627243.06, 39.55, 0.05
16/9/2024 5:10:32 pm (UTC+1000), 6200464.71, 627244.21, 39.59, 0.08
16/9/2024 5:10:33 pm (UTC+1000), 6200464.39, 627245.34, 39.63, 0.08
16/9/2024 5:10:34 pm (UTC+1000), 6200464.07, 627246.58, 39.56, 0.05
16/9/2024 5:10:35 pm (UTC+1000), 6200463.9, 627247.85, 39.5, 0.05
16/9/2024 5:10:36 pm (UTC+1000), 6200463.86, 627249.16, 39.55, 0.03
16/9/2024 5:10:37 pm (UTC+1000), 6200463.88, 627250.47, 39.48, 0.04
16/9/2024 5:10:38 pm (UTC+1000), 6200463.89, 627251.73, 39.56, 0.03
16/9/2024 5:10:39 pm (UTC+1000), 6200463.71, 627253.05, 39.56, 0.03
16/9/2024 5:10:40 pm (UTC+1000), 6200463.51, 627254.34, 39.54, 0.03
16/9/2024 5:10:41 pm (UTC+1000), 6200463.34, 627255.65, 39.58, 0.03
16/9/2024 5:10:42 pm (UTC+1000), 6200463.12, 627256.95, 39.57, 0.02
16/9/2024 5:10:43 pm (UTC+1000), 6200462.8, 627258.24, 39.57, 0.03
16/9/2024 5:10:44 pm (UTC+1000), 6200462.62, 627259.52, 39.6, 0.02
16/9/2024 5:10:45 pm (UTC+1000), 6200462.47, 627260.81, 39.56, 0.02
16/9/2024 5:10:46 pm (UTC+1000), 6200462.38, 627262.16, 39.56, 0.02
16/9/2024 5:10:47 pm (UTC+1000), 6200462.33, 627263.51, 39.6, 0.02
16/9/2024 5:10:48 pm (UTC+1000), 6200462.15, 627264.85, 39.56, 0.02
16/9/2024 5:10:49 pm (UTC+1000), 6200461.9, 627266.18, 39.59, 0.02
16/9/2024 5:10:50 pm (UTC+1000), 6200461.81, 627267.49, 39.63, 0.02
16/9/2024 5:10:51 pm (UTC+1000), 6200461.94, 627268.83, 39.57, 0.02
16/9/2024 5:10:52 pm (UTC+1000), 6200462.09, 627270.13, 39.55, 0.02
16/9/2024 5:10:53 pm (UTC+1000), 6200462.07, 627271.44, 39.59, 0.02
16/9/2024 5:10:54 pm (UTC+1000), 6200461.93, 627272.76, 39.56, 0.02
16/9/2024 5:10:55 pm (UTC+1000), 6200461.93, 627274.03, 39.58, 0.02
16/9/2024 5:10:56 pm (UTC+1000), 6200461.92, 627275.34, 39.6, 0.02
16/9/2024 5:10:57 pm (UTC+1000), 6200461.79, 627276.64, 39.54, 0.02
16/9/2024 5:10:58 pm (UTC+1000), 6200461.64, 627277.88, 39.6, 0.02
16/9/2024 5:10:59 pm (UTC+1000), 6200461.57, 627279.15, 39.61, 0.02
16/9/2024 5:11:00 pm (UTC+1000), 6200461.53, 627280.46, 39.59, 0.02
16/9/2024 5:11:01 pm (UTC+1000), 6200461.48, 627281.79, 39.6, 0.02
16/9/2024 5:11:02 pm (UTC+1000), 6200461.42, 627283.07, 39.58, 0.03
16/9/2024 5:11:03 pm (UTC+1000), 6200461.2, 627284.37, 39.61, 0.03
16/9/2024 5:11:04 pm (UTC+1000), 6200460.98, 627285.66, 39.61, 0.04
16/9/2024 5:11:05 pm (UTC+1000), 6200460.7, 627286.92, 39.5, 0.03
16/9/2024 5:11:06 pm (UTC+1000), 6200460.44, 627288.18, 39.65, 0.03
16/9/2024 5:11:07 pm (UTC+1000), 6200460.18, 627289.44, 39.6, 0.03
16/9/2024 5:11:08 pm (UTC+1000), 6200459.85, 627290.71, 39.49, 0.03
16/9/2024 5:11:09 pm (UTC+1000), 6200459.57, 627292.02, 39.58, 0.03
16/9/2024 5:11:10 pm (UTC+1000), 6200459.36, 627293.32, 39.52, 0.03
16/9/2024 5:11:11 pm (UTC+1000), 6200459.06, 627294.61, 39.5, 0.03
16/9/2024 5:11:12 pm (UTC+1000), 6200458.71, 627295.88, 39.58, 0.03
16/9/2024 5:11:13 pm (UTC+1000), 6200458.31, 627297.16, 39.54, 0.03
16/9/2024 5:11:14 pm (UTC+1000), 6200457.9, 627298.48, 39.52, 0.02
16/9/2024 5:11:15 pm (UTC+1000), 6200457.48, 627299.71, 39.57, 0.02
16/9/2024 5:11:16 pm (UTC+1000), 6200457.04, 627300.96, 39.56, 0.02
16/9/2024 5:11:17 pm (UTC+1000), 6200456.61, 627302.25, 39.53, 0.02
16/9/2024 5:11:18 pm (UTC+1000), 6200456.18, 627303.54, 39.62, 0.02
16/9/2024 5:11:19 pm (UTC+1000), 6200455.8, 627304.8, 39.6, 0.03
16/9/2024 5:11:20 pm (UTC+1000), 6200455.45, 627306.08, 39.56, 0.02
16/9/2024 5:11:21 pm (UTC+1000), 6200455.16, 627307.38, 39.6, 0.03
16/9/2024 5:11:22 pm (UTC+1000), 6200454.86, 627308.67, 39.54, 0.03
16/9/2024 5:11:23 pm (UTC+1000), 6200454.38, 627309.94, 39.54, 0.03
16/9/2024 5:11:24 pm (UTC+1000), 6200453.76, 627311.16, 39.61, 0.02
16/9/2024 5:11:25 pm (UTC+1000), 6200453.19, 627312.34, 39.56, 0.03
16/9/2024 5:11:26 pm (UTC+1000), 6200452.58, 627313.54, 39.59, 0.02
16/9/2024 5:11:27 pm (UTC+1000), 6200452.05, 627314.75, 39.59, 0.02
16/9/2024 5:11:28 pm (UTC+1000), 6200451.69, 627315.99, 39.53, 0.02
16/9/2024 5:11:29 pm (UTC+1000), 6200451.32, 627317.2, 39.6, 0.02
16/9/2024 5:11:30 pm (UTC+1000), 6200451.03, 627318.47, 39.58, 0.02
16/9/2024 5:11:31 pm (UTC+1000), 6200450.88, 627319.75, 39.57, 0.02
16/9/2024 5:11:32 pm (UTC+1000), 6200450.72, 627321.04, 39.58, 0.02
16/9/2024 5:11:33 pm (UTC+1000), 6200450.4, 627322.3, 39.51, 0.02
16/9/2024 5:11:34 pm (UTC+1000), 6200450.05, 627323.52, 39.57, 0.02
16/9/2024 5:11:35 pm (UTC+1000), 6200449.69, 627324.73, 39.57, 0.02
16/9/2024 5:11:36 pm (UTC+1000), 6200449.38, 627326.03, 39.5, 0.02
16/9/2024 5:11:37 pm (UTC+1000), 6200449.01, 627327.35, 39.55, 0.02
16/9/2024 5:11:38 pm (UTC+1000), 6200448.68, 627328.63, 39.57, 0.02
16/9/2024 5:11:39 pm (UTC+1000), 6200448.3, 627329.89, 39.5, 0.02
16/9/2024 5:11:40 pm (UTC+1000), 6200447.82, 627331.15, 39.56, 0.02
16/9/2024 5:11:41 pm (UTC+1000), 6200447.41, 627332.45, 39.53, 0.02
16/9/2024 5:11:42 pm (UTC+1000), 6200447, 627333.77, 39.4, 0.02
16/9/2024 5:11:43 pm (UTC+1000), 6200446.61, 627335.05, 39.55, 0.02
16/9/2024 5:11:44 pm (UTC+1000), 6200446.37, 627336.32, 39.59, 0.04
16/9/2024 5:11:45 pm (UTC+1000), 6200446.27, 627337.66, 39.51, 0.03
16/9/2024 5:11:46 pm (UTC+1000), 6200446.08, 627339, 39.49, 0.04
16/9/2024 5:11:47 pm (UTC+1000), 6200445.95, 627340.36, 39.46, 0.04
16/9/2024 5:11:48 pm (UTC+1000), 6200445.79, 627341.72, 39.42, 0.04
16/9/2024 5:11:49 pm (UTC+1000), 6200445.58, 627343.06, 39.44, 0.05
16/9/2024 5:11:50 pm (UTC+1000), 6200445.28, 627344.41, 39.41, 0.05
16/9/2024 5:11:51 pm (UTC+1000), 6200445.09, 627345.73, 39.31, 0.05
16/9/2024 5:11:52 pm (UTC+1000), 6200444.88, 627347.04, 39.47, 0.05
16/9/2024 5:11:53 pm (UTC+1000), 6200444.75, 627348.3, 39.46, 0.05
16/9/2024 5:11:54 pm (UTC+1000), 6200444.63, 627349.49, 39.39, 0.04
16/9/2024 5:11:55 pm (UTC+1000), 6200444.4, 627350.74, 39.42, 0.05
16/9/2024 5:11:56 pm (UTC+1000), 6200444.33, 627351.98, 39.31, 0.06
16/9/2024 5:11:57 pm (UTC+1000), 6200444.4, 627353.23, 39.54, 0.07
16/9/2024 5:11:58 pm (UTC+1000), 6200444.4, 627354.42, 39.16, 0.07
16/9/2024 5:11:59 pm (UTC+1000), 6200444.44, 627355.58, 39.22, 0.07
16/9/2024 5:12:00 pm (UTC+1000), 6200444.47, 627356.91, 39.45, 0.07
16/9/2024 5:12:01 pm (UTC+1000), 6200444.24, 627358.08, 39.43, 0.08
16/9/2024 5:12:02 pm (UTC+1000), 6200444.17, 627359.28, 39.38, 0.09
16/9/2024 5:12:03 pm (UTC+1000), 6200444.27, 627360.45, 39.42, 0.09
16/9/2024 5:12:04 pm (UTC+1000), 6200444.42, 627361.74, 39.47, 0.09
16/9/2024 5:12:05 pm (UTC+1000), 6200444.49, 627363, 39.49, 0.09
16/9/2024 5:12:06 pm (UTC+1000), 6200444.49, 627364.24, 39.35, 0.10
16/9/2024 5:12:07 pm (UTC+1000), 6200444.38, 627365.54, 39.38, 0.10
16/9/2024 5:12:08 pm (UTC+1000), 6200444.13, 627366.91, 39.39, 0.04
16/9/2024 5:12:09 pm (UTC+1000), 6200443.9, 627368.25, 39.35, 0.05
16/9/2024 5:12:10 pm (UTC+1000), 6200443.66, 627369.48, 39.43, 0.03
16/9/2024 5:12:11 pm (UTC+1000), 6200443.55, 627370.75, 39.42, 0.03
16/9/2024 5:12:12 pm (UTC+1000), 6200443.55, 627372, 39.41, 0.03
16/9/2024 5:12:13 pm (UTC+1000), 6200443.5, 627373.25, 39.45, 0.03
16/9/2024 5:12:14 pm (UTC+1000), 6200443.39, 627374.46, 39.37, 0.02
16/9/2024 5:12:15 pm (UTC+1000), 6200443.07, 627375.56, 39.42, 0.02
16/9/2024 5:12:16 pm (UTC+1000), 6200442.7, 627376.52, 39.31, 0.02
16/9/2024 5:12:17 pm (UTC+1000), 6200442.36, 627377.51, 39.41, 0.02
16/9/2024 5:12:18 pm (UTC+1000), 6200442.03, 627378.4, 39.48, 0.02
16/9/2024 5:12:19 pm (UTC+1000), 6200441.64, 627379.38, 39.38, 0.04
16/9/2024 5:12:20 pm (UTC+1000), 6200441.23, 627380.22, 39.41, 0.05
16/9/2024 5:12:21 pm (UTC+1000), 6200441.02, 627381.13, 39.45, 0.03
16/9/2024 5:12:22 pm (UTC+1000), 6200440.87, 627382.08, 39.43, 0.03
16/9/2024 5:12:23 pm (UTC+1000), 6200440.72, 627382.99, 39.41, 0.04
16/9/2024 5:12:24 pm (UTC+1000), 6200440.4, 627383.87, 39.45, 0.06
16/9/2024 5:12:25 pm (UTC+1000), 6200440.17, 627384.67, 39.51, 0.06
16/9/2024 5:12:26 pm (UTC+1000), 6200439.97, 627385.61, 39.44, 0.03
16/9/2024 5:12:27 pm (UTC+1000), 6200439.71, 627386.62, 39.51, 0.04
16/9/2024 5:12:28 pm (UTC+1000), 6200439.32, 627387.72, 39.42, 0.02
16/9/2024 5:12:29 pm (UTC+1000), 6200439.01, 627388.83, 39.49, 0.03
16/9/2024 5:12:30 pm (UTC+1000), 6200438.79, 627389.96, 39.41, 0.02
16/9/2024 5:12:31 pm (UTC+1000), 6200438.62, 627391.13, 39.45, 0.02
16/9/2024 5:12:32 pm (UTC+1000), 6200438.29, 627392.33, 39.47, 0.02
16/9/2024 5:12:33 pm (UTC+1000), 6200437.94, 627393.53, 39.45, 0.02
16/9/2024 5:12:34 pm (UTC+1000), 6200437.59, 627394.75, 39.47, 0.02
16/9/2024 5:12:35 pm (UTC+1000), 6200437.26, 627395.98, 39.38, 0.02
16/9/2024 5:12:36 pm (UTC+1000), 6200436.97, 627397.21, 39.45, 0.02
16/9/2024 5:12:37 pm (UTC+1000), 6200436.71, 627398.45, 39.43, 0.02
16/9/2024 5:12:38 pm (UTC+1000), 6200436.41, 627399.71, 39.39, 0.02
16/9/2024 5:12:39 pm (UTC+1000), 6200436.02, 627400.96, 39.41, 0.02
16/9/2024 5:12:40 pm (UTC+1000), 6200435.7, 627402.16, 39.32, 0.02
16/9/2024 5:12:41 pm (UTC+1000), 6200435.5, 627403.34, 39.34, 0.02
16/9/2024 5:12:42 pm (UTC+1000), 6200435.26, 627404.59, 39.18, 0.02
16/9/2024 5:12:43 pm (UTC+1000), 6200434.96, 627405.9, 39.05, 0.02
16/9/2024 5:12:44 pm (UTC+1000), 6200434.55, 627407.08, 39.09, 0.02
16/9/2024 5:12:45 pm (UTC+1000), 6200434.05, 627408.24, 39.06, 0.02
16/9/2024 5:12:46 pm (UTC+1000), 6200433.57, 627409.42, 38.97, 0.02
16/9/2024 5:12:47 pm (UTC+1000), 6200433.1, 627410.53, 39.01, 0.02
16/9/2024 5:12:48 pm (UTC+1000), 6200432.7, 627411.65, 38.88, 0.02
16/9/2024 5:12:49 pm (UTC+1000), 6200432.23, 627412.76, 38.72, 0.02
16/9/2024 5:12:50 pm (UTC+1000), 6200432.08, 627413.9, 38.5, 0.02
16/9/2024 5:12:51 pm (UTC+1000), 6200431.92, 627414.92, 38.25, 0.02
16/9/2024 5:12:52 pm (UTC+1000), 6200431.65, 627416.04, 38.24, 0.02
16/9/2024 5:12:53 pm (UTC+1000), 6200431.32, 627417.21, 38.1, 0.03
16/9/2024 5:12:54 pm (UTC+1000), 6200431.18, 627418.48, 37.94, 0.03
16/9/2024 5:12:55 pm (UTC+1000), 6200431.11, 627419.67, 37.85, 0.03
16/9/2024 5:12:56 pm (UTC+1000), 6200430.95, 627420.86, 37.7, 0.03
16/9/2024 5:12:57 pm (UTC+1000), 6200430.67, 627422.13, 37.53, 0.03
16/9/2024 5:12:58 pm (UTC+1000), 6200430.55, 627423.46, 37.52, 0.03
16/9/2024 5:12:59 pm (UTC+1000), 6200430.52, 627424.73, 37.49, 0.02
16/9/2024 5:13:00 pm (UTC+1000), 6200430.47, 627426.04, 37.4, 0.03
16/9/2024 5:13:01 pm (UTC+1000), 6200430.28, 627427.34, 37.4, 0.03
16/9/2024 5:13:02 pm (UTC+1000), 6200430.22, 627428.67, 37.28, 0.02
16/9/2024 5:13:03 pm (UTC+1000), 6200430.17, 627430.06, 37.18, 0.03
16/9/2024 5:13:04 pm (UTC+1000), 6200430.09, 627431.41, 37.25, 0.02
16/9/2024 5:13:05 pm (UTC+1000), 6200429.86, 627432.73, 37.37, 0.02
16/9/2024 5:13:06 pm (UTC+1000), 6200429.59, 627434.06, 37.36, 0.02
16/9/2024 5:13:07 pm (UTC+1000), 6200429.36, 627435.4, 37.44, 0.02
16/9/2024 5:13:08 pm (UTC+1000), 6200429.2, 627436.75, 37.47, 0.02
16/9/2024 5:13:09 pm (UTC+1000), 6200428.93, 627438.07, 37.47, 0.02
16/9/2024 5:13:10 pm (UTC+1000), 6200428.74, 627439.37, 37.54, 0.02
16/9/2024 5:13:11 pm (UTC+1000), 6200428.56, 627440.7, 37.61, 0.02
16/9/2024 5:13:12 pm (UTC+1000), 6200428.26, 627442.08, 37.55, 0.02
16/9/2024 5:13:13 pm (UTC+1000), 6200427.81, 627443.45, 37.6, 0.02
16/9/2024 5:13:14 pm (UTC+1000), 6200427.4, 627444.75, 37.65, 0.02
16/9/2024 5:13:15 pm (UTC+1000), 6200427.07, 627446.01, 37.64, 0.02
16/9/2024 5:13:16 pm (UTC+1000), 6200426.87, 627447.25, 37.73, 0.02
16/9/2024 5:13:17 pm (UTC+1000), 6200426.71, 627448.54, 37.78, 0.02
16/9/2024 5:13:18 pm (UTC+1000), 6200426.61, 627449.82, 37.72, 0.02
16/9/2024 5:13:19 pm (UTC+1000), 6200426.45, 627451.22, 37.78, 0.02
16/9/2024 5:13:20 pm (UTC+1000), 6200426.31, 627452.58, 37.8, 0.02
16/9/2024 5:13:21 pm (UTC+1000), 6200426.07, 627453.96, 37.81, 0.02
16/9/2024 5:13:22 pm (UTC+1000), 6200425.98, 627455.27, 37.95, 0.02
16/9/2024 5:13:23 pm (UTC+1000), 6200425.86, 627456.52, 38.09, 0.02
16/9/2024 5:13:24 pm (UTC+1000), 6200425.74, 627457.67, 38.19, 0.02
16/9/2024 5:13:25 pm (UTC+1000), 6200425.59, 627458.79, 38.21, 0.02
16/9/2024 5:13:26 pm (UTC+1000), 6200425.3, 627459.96, 38.33, 0.02
16/9/2024 5:13:27 pm (UTC+1000), 6200424.86, 627461.01, 38.4, 0.02
16/9/2024 5:13:28 pm (UTC+1000), 6200424.41, 627462.1, 38.49, 0.02
16/9/2024 5:13:29 pm (UTC+1000), 6200424.16, 627463.19, 38.57, 0.02
16/9/2024 5:13:30 pm (UTC+1000), 6200424, 627464.18, 38.77, 0.02
16/9/2024 5:13:31 pm (UTC+1000), 6200423.8, 627465.24, 38.98, 0.02
16/9/2024 5:13:32 pm (UTC+1000), 6200423.74, 627466.21, 39.15, 0.02
16/9/2024 5:13:33 pm (UTC+1000), 6200423.71, 627467.19, 39.38, 0.02
16/9/2024 5:13:34 pm (UTC+1000), 6200423.66, 627468.23, 39.51, 0.02
16/9/2024 5:13:35 pm (UTC+1000), 6200423.6, 627469.25, 39.69, 0.02
16/9/2024 5:13:36 pm (UTC+1000), 6200423.5, 627470.39, 39.65, 0.02
16/9/2024 5:13:37 pm (UTC+1000), 6200423.54, 627471.57, 39.72, 0.02
16/9/2024 5:13:38 pm (UTC+1000), 6200423.52, 627472.75, 39.66, 0.02
16/9/2024 5:13:39 pm (UTC+1000), 6200423.46, 627473.94, 39.67, 0.02
16/9/2024 5:13:40 pm (UTC+1000), 6200423.3, 627475.14, 39.69, 0.02
16/9/2024 5:13:41 pm (UTC+1000), 6200423.21, 627476.35, 39.69, 0.02
16/9/2024 5:13:42 pm (UTC+1000), 6200423.37, 627477.6, 39.75, 0.02
16/9/2024 5:13:43 pm (UTC+1000), 6200423.47, 627478.84, 39.74, 0.02
16/9/2024 5:13:44 pm (UTC+1000), 6200423.3, 627480.07, 39.73, 0.02
16/9/2024 5:13:45 pm (UTC+1000), 6200423.1, 627481.29, 39.79, 0.02
16/9/2024 5:13:46 pm (UTC+1000), 6200422.92, 627482.46, 39.77, 0.02
16/9/2024 5:13:47 pm (UTC+1000), 6200422.79, 627483.63, 39.87, 0.02
16/9/2024 5:13:48 pm (UTC+1000), 6200422.68, 627484.86, 39.84, 0.02
16/9/2024 5:13:49 pm (UTC+1000), 6200422.63, 627486.14, 39.86, 0.02
