Gnss DateTime (Local Time), Northing(m), Easting(m), Height MSL(m),Vertical Accuracy(m)
27/01/2026 11:52:17 AM (UTC+1030),6278111.968,494275.2,97.454,0.196
27/01/2026 11:52:18 AM (UTC+1030),6278111.963,494275.2,97.457,0.198
27/01/2026 11:52:19 AM (UTC+1030),6278111.964,494275.202,97.455,0.198
27/01/2026 11:52:20 AM (UTC+1030),6278111.965,494275.204,97.455,0.198
27/01/2026 11:52:21 AM (UTC+1030),6278111.963,494275.204,97.455,0.198
27/01/2026 11:52:22 AM (UTC+1030),6278111.964,494275.204,97.455,0.198
27/01/2026 11:52:23 AM (UTC+1030),6278111.964,494275.205,97.455,0.2
27/01/2026 11:52:24 AM (UTC+1030),6278111.966,494275.195,97.466,0.198
27/01/2026 11:52:25 AM (UTC+1030),6278111.962,494275.195,97.462,0.198
27/01/2026 11:52:26 AM (UTC+1030),6278111.961,494275.195,97.46,0.198
27/01/2026 11:52:27 AM (UTC+1030),6278111.962,494275.196,97.463,0.2
27/01/2026 11:52:28 AM (UTC+1030),6278111.962,494275.197,97.463,0.2
27/01/2026 11:52:29 AM (UTC+1030),6278111.962,494275.199,97.463,0.2
27/01/2026 11:52:30 AM (UTC+1030),6278111.965,494275.194,97.448,0.195
27/01/2026 11:52:31 AM (UTC+1030),6278111.962,494275.193,97.446,0.195
27/01/2026 11:52:32 AM (UTC+1030),6278111.962,494275.196,97.451,0.194
27/01/2026 11:52:33 AM (UTC+1030),6278111.961,494275.196,97.445,0.194
27/01/2026 11:52:34 AM (UTC+1030),6278111.961,494275.195,97.445,0.194
27/01/2026 11:52:35 AM (UTC+1030),6278111.962,494275.192,97.442,0.199
27/01/2026 11:52:36 AM (UTC+1030),6278111.961,494275.195,97.436,0.2
27/01/2026 11:52:37 AM (UTC+1030),6278111.963,494275.193,97.438,0.2
27/01/2026 11:52:38 AM (UTC+1030),6278111.966,494275.193,97.437,0.2
27/01/2026 11:52:39 AM (UTC+1030),6278111.966,494275.194,97.437,0.2
27/01/2026 11:52:40 AM (UTC+1030),6278111.964,494275.197,97.441,0.202
27/01/2026 11:52:41 AM (UTC+1030),6278111.964,494275.197,97.444,0.202
27/01/2026 11:52:42 AM (UTC+1030),6278111.959,494275.198,97.439,0.199
27/01/2026 11:52:43 AM (UTC+1030),6278111.96,494275.197,97.441,0.199
27/01/2026 11:52:44 AM (UTC+1030),6278111.96,494275.196,97.438,0.195
27/01/2026 11:52:45 AM (UTC+1030),6278111.958,494275.195,97.438,0.195
27/01/2026 11:52:46 AM (UTC+1030),6278111.959,494275.194,97.446,0.192
27/01/2026 11:52:47 AM (UTC+1030),6278111.959,494275.193,97.441,0.192
27/01/2026 11:52:48 AM (UTC+1030),6278111.955,494275.193,97.437,0.196
27/01/2026 11:52:49 AM (UTC+1030),6278111.956,494275.191,97.434,0.186
27/01/2026 11:52:50 AM (UTC+1030),6278111.958,494275.194,97.435,0.186
27/01/2026 11:52:51 AM (UTC+1030),6278111.956,494275.192,97.437,0.186
27/01/2026 11:52:52 AM (UTC+1030),6278111.958,494275.195,97.447,0.187
27/01/2026 11:52:53 AM (UTC+1030),6278111.957,494275.194,97.447,0.187
27/01/2026 11:52:54 AM (UTC+1030),6278111.959,494275.193,97.44,0.184
27/01/2026 11:52:55 AM (UTC+1030),6278111.957,494275.196,97.44,0.184
27/01/2026 11:52:56 AM (UTC+1030),6278111.957,494275.195,97.441,0.182
27/01/2026 11:52:57 AM (UTC+1030),6278111.956,494275.194,97.439,0.182
27/01/2026 11:52:58 AM (UTC+1030),6278111.954,494275.195,97.442,0.19
27/01/2026 11:52:59 AM (UTC+1030),6278111.954,494275.195,97.44,0.19
27/01/2026 11:53:00 AM (UTC+1030),6278111.955,494275.197,97.438,0.186
27/01/2026 11:53:01 AM (UTC+1030),6278111.958,494275.196,97.448,0.188
27/01/2026 11:53:02 AM (UTC+1030),6278111.959,494275.194,97.447,0.188
27/01/2026 11:53:03 AM (UTC+1030),6278111.954,494275.195,97.447,0.188
27/01/2026 11:53:04 AM (UTC+1030),6278111.955,494275.197,97.446,0.188
27/01/2026 11:53:05 AM (UTC+1030),6278111.954,494275.197,97.444,0.188
27/01/2026 11:53:06 AM (UTC+1030),6278111.958,494275.197,97.44,0.19
27/01/2026 11:53:07 AM (UTC+1030),6278111.958,494275.198,97.446,0.19
27/01/2026 11:53:08 AM (UTC+1030),6278111.959,494275.193,97.438,0.182
27/01/2026 11:53:09 AM (UTC+1030),6278111.958,494275.194,97.439,0.182
27/01/2026 11:53:10 AM (UTC+1030),6278111.958,494275.196,97.437,0.177
27/01/2026 11:53:11 AM (UTC+1030),6278111.956,494275.193,97.437,0.179
27/01/2026 11:53:12 AM (UTC+1030),6278111.957,494275.196,97.437,0.179
27/01/2026 11:53:13 AM (UTC+1030),6278111.956,494275.196,97.443,0.182
27/01/2026 11:53:14 AM (UTC+1030),6278111.955,494275.195,97.448,0.182
27/01/2026 11:53:15 AM (UTC+1030),6278111.957,494275.195,97.45,0.19
27/01/2026 11:53:16 AM (UTC+1030),6278111.959,494275.196,97.449,0.192
27/01/2026 11:53:17 AM (UTC+1030),6278111.957,494275.196,97.446,0.19
27/01/2026 11:53:18 AM (UTC+1030),6278111.953,494275.194,97.447,0.19
27/01/2026 11:53:19 AM (UTC+1030),6278111.955,494275.195,97.445,0.19
27/01/2026 11:53:20 AM (UTC+1030),6278111.956,494275.191,97.443,0.188
27/01/2026 11:53:21 AM (UTC+1030),6278111.955,494275.19,97.441,0.188
27/01/2026 11:53:22 AM (UTC+1030),6278111.954,494275.188,97.445,0.185
27/01/2026 11:53:23 AM (UTC+1030),6278111.957,494275.191,97.442,0.185
27/01/2026 11:53:24 AM (UTC+1030),6278111.953,494275.191,97.438,0.183
27/01/2026 11:53:25 AM (UTC+1030),6278111.955,494275.192,97.437,0.183
27/01/2026 11:53:26 AM (UTC+1030),6278111.954,494275.19,97.44,0.183
27/01/2026 11:53:27 AM (UTC+1030),6278111.952,494275.188,97.439,0.183
27/01/2026 11:53:28 AM (UTC+1030),6278111.957,494275.199,97.448,0.188
27/01/2026 11:53:29 AM (UTC+1030),6278111.954,494275.195,97.436,0.187
27/01/2026 11:53:30 AM (UTC+1030),6278111.95,494275.192,97.435,0.187
27/01/2026 11:53:31 AM (UTC+1030),6278111.951,494275.195,97.442,0.179
27/01/2026 11:53:32 AM (UTC+1030),6278111.952,494275.198,97.441,0.179
27/01/2026 11:53:33 AM (UTC+1030),6278111.952,494275.198,97.44,0.179
27/01/2026 11:53:34 AM (UTC+1030),6278111.95,494275.189,97.455,0.184
27/01/2026 11:53:35 AM (UTC+1030),6278111.951,494275.191,97.452,0.184
27/01/2026 11:53:36 AM (UTC+1030),6278111.95,494275.193,97.439,0.181
27/01/2026 11:53:37 AM (UTC+1030),6278111.952,494275.195,97.44,0.181
27/01/2026 11:53:38 AM (UTC+1030),6278111.948,494275.19,97.45,0.166
27/01/2026 11:53:39 AM (UTC+1030),6278111.95,494275.189,97.451,0.166
27/01/2026 11:53:40 AM (UTC+1030),6278111.95,494275.193,97.449,0.166
27/01/2026 11:53:41 AM (UTC+1030),6278111.944,494275.192,97.449,0.166
27/01/2026 11:53:42 AM (UTC+1030),6278111.946,494275.195,97.443,0.166
27/01/2026 11:53:43 AM (UTC+1030),6278111.946,494275.194,97.449,0.166
27/01/2026 11:53:44 AM (UTC+1030),6278111.945,494275.194,97.444,0.164
27/01/2026 11:53:45 AM (UTC+1030),6278111.947,494275.195,97.441,0.164
27/01/2026 11:53:46 AM (UTC+1030),6278111.95,494275.196,97.442,0.168
27/01/2026 11:53:47 AM (UTC+1030),6278111.951,494275.197,97.446,0.166
27/01/2026 11:53:48 AM (UTC+1030),6278111.956,494275.2,97.436,0.168
27/01/2026 11:53:49 AM (UTC+1030),6278111.954,494275.198,97.438,0.166
27/01/2026 11:53:50 AM (UTC+1030),6278111.951,494275.196,97.44,0.168
27/01/2026 11:53:51 AM (UTC+1030),6278111.951,494275.197,97.438,0.166
27/01/2026 11:53:52 AM (UTC+1030),6278111.948,494275.197,97.436,0.168
27/01/2026 11:53:53 AM (UTC+1030),6278111.948,494275.199,97.433,0.168
27/01/2026 11:53:54 AM (UTC+1030),6278111.954,494275.196,97.445,0.166
27/01/2026 11:53:55 AM (UTC+1030),6278111.95,494275.199,97.441,0.166
27/01/2026 11:53:56 AM (UTC+1030),6278111.947,494275.199,97.437,0.166
27/01/2026 11:53:57 AM (UTC+1030),6278111.946,494275.202,97.435,0.168
27/01/2026 11:53:58 AM (UTC+1030),6278111.952,494275.197,97.437,0.168
